park_name,width_ft,class,surface,gen_topog,difficulty,date_collected,trail_name,parkid,trailmarkersinstalled,shape
Marine Park,9.0,Class IV : Highly Developed,Sand,Level,2: Slightly uneven,2013.0,Red Trail,B057,Yes,"MULTILINESTRING ((-73.92447984357008 40.59616591404308, -73.92450817703568 40.59625534017893, -73.92460049924381 40.5963339705157, -73.92473186143816 40.59646410384642, -73.92487748172776 40.596559024194214, -73.92504795992933 40.59667292648462, -73.92515567091051 40.596766324176315))"
Inwood Hill Park,9.0,Class V : Fully Developed,Paved,Sloped,3: Moderate and rough,2013.0,Unnamed Official Trail,M042,Yes,"MULTILINESTRING ((-73.92544349819896 40.86910923480374, -73.92544577288199 40.86910015754368, -73.92559378517821 40.86901344954337, -73.92570723729268 40.86885169306492, -73.92583443372202 40.86876425185824, -73.92589329002212 40.86872627552779, -73.9261562207462 40.86859875564274, -73.92616415337834 40.868564210755345))"
Pelham Bay Park,3.0,Class II : Simple/Minor Developed,Dirt,Level,2: Slightly uneven,2014.0,Unnamed Official Trail,X039,Yes,"MULTILINESTRING ((-73.82027636813119 40.85247576955919, -73.82031141015942 40.852568790160454, -73.82034203824136 40.85260604804074, -73.82037514275548 40.85264631831613, -73.82041329231073 40.85269272609221, -73.82045719852786 40.85274613604428, -73.82052201529737 40.852797775725286, -73.82057717093292 40.852841717336645, -73.8206185791216 40.852874708261034, -73.82056332625697 40.85296305976267, -73.82060402385345 40.85305023855899))"
Inwood Hill Park,5.0,Class V : Fully Developed,Paved,Sloped,2: Slightly uneven,2013.0,Unnamed Official Trail,M042,Yes,"MULTILINESTRING ((-73.92372112981431 40.87018564402198, -73.92369142769819 40.87021434007167, -73.92360344832309 40.87028374106205, -73.92358377116868 40.870320628262654, -73.92352061967736 40.87045711943358, -73.92337258980854 40.87058379203684, -73.92329253459795 40.87064426339858, -73.92317036011549 40.87084125497656))"
Allison Pond Park,3.0,Class III : Developed/Improved,Dirt,Wavy,2: Slightly uneven,2017.0,"Red Trail, White Trail",R052,Yes,"MULTILINESTRING ((-74.09937815930377 40.636655645748974, -74.09939924062614 40.63665237124912, -74.09949218146966 40.63656347623958, -74.09962889263231 40.636518191415846, -74.0997055565781 40.63646318067181, -74.09974720487527 40.636470087555885, -74.09982075379924 40.63645375764817, -74.09984141794047 40.63644191408607, -74.09988744734568 40.63645295590265, -74.09995973181847 40.63648032200964, -74.10002619257725 40.636481925673515, -74.1001558823775 40.63655766623963, -74.10021854943918 40.63659124603986))"
Van Cortlandt Park,3.0,Class II : Simple/Minor Developed,Dirt,Level,2: Slightly uneven,2014.0,Unnamed Official Trail,X092,Yes,"MULTILINESTRING ((-73.8802108745788 40.90593774431294, -73.88023143244887 40.90601751964728, -73.8801544153316 40.906352590604655, -73.88010516158167 40.906569108390265))"
Van Cortlandt Park,5.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2013.0,Cass Gallagher Nature Trail,X092,Yes,"MULTILINESTRING ((-73.89309598796547 40.90338996389022, -73.8932201522326 40.90331486860208, -73.89332413318485 40.90339117265196, -73.89335978082094 40.90342017414108, -73.89343348819223 40.9035401370845, -73.89348226377898 40.90367641174992, -73.89350091750119 40.90373634263056, -73.8934670761076 40.90381168097972, -73.89346670216764 40.903834686187594))"
High Rock Park,5.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2014.0,Blue Trail,R088,Yes,"MULTILINESTRING ((-74.12315365410093 40.584130669025505, -74.12305493238391 40.58424929553367, -74.12319567706342 40.58431351059893, -74.12333825801555 40.584461121094904, -74.12362547681987 40.58459350199832))"
Van Cortlandt Park,5.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2013.0,John Kieran Nature Trail,X092,Yes,"MULTILINESTRING ((-73.89021232376633 40.89090292981328, -73.89021163792258 40.890904354629896, -73.89019221421391 40.89094529835025, -73.89018862534851 40.89098728638722, -73.89017843104416 40.891106563132595, -73.89016170822246 40.89123355172534, -73.89011664448384 40.891320774004136, -73.89007041638249 40.89141024907081, -73.89001833715224 40.89151104845337, -73.88999458980776 40.89156445794174))"
Kissena Corridor Park,9.0,Class IV : Highly Developed,Wood Chips,Level,2: Slightly uneven,2014.0,Unnamed Official Trail,Q300,Yes,"MULTILINESTRING ((-73.81941849388909 40.74708761210621, -73.8197907496592 40.747473927836076, -73.81992431291256 40.747590952453436, -73.82002249907889 40.74761988615979))"
Marine Park,9.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2014.0,Unnamed Official Trail,B057,No,"MULTILINESTRING ((-73.92961994397349 40.60484320080962, -73.92963821539409 40.604826166913945, -73.92968091787407 40.604764842276595, -73.92974680258233 40.60470732299393, -73.92996416387786 40.60460233500101, -73.93030677621186 40.60445596797845))"
High Rock Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2014.0,Unnamed Official Trail,R088,Yes,"MULTILINESTRING ((-74.12392357053669 40.58010701362537, -74.12402710233985 40.58012644419584, -74.12421321142327 40.58019975117775, -74.1243158986908 40.580160018817566, -74.12467580848715 40.58003635686223))"
Riverdale Park,3.0,Class II : Simple/Minor Developed,Dirt,Sloped,3: Moderate and rough,2014.0,Unnamed Official Trail,X142,Yes,"MULTILINESTRING ((-73.91543543707985 40.897257019607146, -73.91554055121459 40.89725543516442, -73.91564927916865 40.897282654359216, -73.91570216991417 40.897306509904354, -73.91576272999073 40.89732704823428, -73.9157877964294 40.89738111629572, -73.91585786185527 40.89741326965281, -73.91593169865011 40.89740424386242, -73.91596996982062 40.897358031853955, -73.91599113639758 40.897323249841456, -73.9160535972407 40.89729154780088, -73.91611186924288 40.89722946214024, -73.91615165536807 40.8971533604919, -73.91617503351341 40.89714048253297))"
Conference House Park,9.0,Class V : Fully Developed,Gravel,Level,2: Slightly uneven,2014.0,Unnamed Official Trail,R006,Yes,"MULTILINESTRING ((-74.25384822139527 40.50360339922238, -74.25373580439826 40.50358190986703, -74.25341357108981 40.50352778662493, -74.25311169116078 40.50346834136405, -74.25302996127868 40.50337866639171, -74.25300139086922 40.50328216700161))"
Richmond Parkway,7.0,Class IV : Highly Developed,Dirt,Level,2: Slightly uneven,2015.0,Unnamed Official Trail,R065,Yes,"MULTILINESTRING ((-74.1172328740281 40.59479907853615, -74.1169474856776 40.59506659607946, -74.11653922535177 40.59537357244406))"
Bronx Park,7.0,Class IV : Highly Developed,Paved,Level,1: Flat and smooth,2014.0,Red Trail,X002,Yes,"MULTILINESTRING ((-73.87218745808623 40.874991171076815, -73.87215992641968 40.87504077191289, -73.87193173559413 40.87532393688908, -73.87178335568738 40.875417998355225, -73.87151395650407 40.87552074704171))"
Willowbrook Parkway,5.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2016.0,White Trail,R047,Yes,"MULTILINESTRING ((-74.12850915977461 40.577099244437335, -74.12844905679779 40.57702933454181, -74.12840543300553 40.576950225342514, -74.12835361675297 40.5769321097468, -74.12831238274629 40.57691036850137, -74.12820571594158 40.57692440520397, -74.12809285529949 40.57684707512319, -74.12802917051431 40.57674923470872, -74.12796062768227 40.576703457231076, -74.12792993440964 40.576654449711484))"
Inwood Hill Park,5.0,Class V : Fully Developed,Paved,Sloped,2: Slightly uneven,2013.0,Unnamed Official Trail,M042,Yes,"MULTILINESTRING ((-73.92333383099302 40.87087941474858, -73.92340233045289 40.87088543137802, -73.92350344570342 40.87089487794228, -73.92358500129795 40.8709193487277, -73.92367815932138 40.87095142905513, -73.92373453194368 40.87096866115687, -73.92383225152226 40.87102124039674, -73.92410638938578 40.87114266100808, -73.92411774012626 40.87114007326438))"
Van Cortlandt Park,9.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2013.0,Unnamed Official Trail,X092,Yes,"MULTILINESTRING ((-73.89067228990886 40.90817520600038, -73.8909381747627 40.90781886805307, -73.89116527598976 40.90759276488256, -73.89121393324878 40.90754434584696, -73.8912176225449 40.907534692544225))"
Inwood Hill Park,3.0,Class II : Simple/Minor Developed,Dirt,Wavy,3: Moderate and rough,2020.0,Unnamed Official Trail,M042,Yes,"MULTILINESTRING ((-73.92423787317563 40.874524657539574, -73.92423356956733 40.87456285251841, -73.92418004072705 40.874641524522765, -73.92412390569092 40.874691873537664, -73.92405795518061 40.87474094007451, -73.92395813707886 40.87481923841729, -73.92387196149522 40.8748623392924, -73.92385827220788 40.87491330959033, -73.92384172297177 40.8749060029161, -73.92379749510336 40.874924907381605, -73.92365806177334 40.87492009306818))"
Cunningham Park,9.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2015.0,Unnamed Official Trail,Q021,No,"MULTILINESTRING ((-73.76262002333789 40.735298001350294, -73.76267798249114 40.73527962881246, -73.76351377715105 40.73502394790703))"
Forest Park,5.0,Class II : Simple/Minor Developed,Wood Chips,Level,2: Slightly uneven,2013.0,Blue Trail,Q015,Yes,"MULTILINESTRING ((-73.84693266156255 40.70411478627819, -73.84706856477237 40.704075673039895, -73.84744165296549 40.7041045802177, -73.8475536450289 40.70401582275132, -73.84759797623121 40.70392194984668))"
Van Cortlandt Park,9.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2013.0,Unnamed Official Trail,X092,No,"MULTILINESTRING ((-73.8979580531627 40.887032401166906, -73.89799940719925 40.88693152922297, -73.89806236915241 40.88680517997754, -73.89811753862035 40.88669446976751, -73.89816943843398 40.886590320289585, -73.89821100482335 40.886506907079564, -73.89825055730472 40.886427535262044, -73.89827498952955 40.88637850730287))"
Van Cortlandt Park,3.0,Class II : Simple/Minor Developed,Dirt,Level,2: Slightly uneven,2014.0,Unnamed Official Trail,X092,Yes,"MULTILINESTRING ((-73.87392171102661 40.89998413676112, -73.87396730803607 40.89997547526148, -73.87414290472053 40.90002068654469, -73.87430819981131 40.89996956242591, -73.8745015535062 40.89996249235899, -73.87458308309398 40.899918288830015, -73.8746510746467 40.899896936546355, -73.8747313636886 40.89987172188187, -73.87488000884781 40.89980412072184))"
Spuyten Duyvil Shorefront Park,5.0,Class IV : Highly Developed,Gravel,Level,2: Slightly uneven,2015.0,Blue Trail,X090,Yes,"MULTILINESTRING ((-73.91992057986258 40.87744208953733, -73.91985171538944 40.877399895308564, -73.9197750755957 40.87734779927407, -73.91970026614345 40.87728420613446, -73.9196001572192 40.877081505992315, -73.91954759367171 40.87697684709541, -73.91956342925286 40.876859203106584, -73.91956376719531 40.87685542219404))"
Spuyten Duyvil Shorefront Park,5.0,Class III : Developed/Improved,Gravel,Level,2: Slightly uneven,2015.0,Unnamed Official Trail,X090,Yes,"MULTILINESTRING ((-73.92166376116802 40.879128523977855, -73.92173571228409 40.87900018850769, -73.9217461054736 40.87893441225025, -73.92171491551711 40.87885334453034, -73.92161855370888 40.87879398293037, -73.92149479044944 40.87874113654991, -73.92146464638488 40.87873114404333, -73.92144932802186 40.87866753489239, -73.92140490193609 40.87862761845562, -73.92133396647853 40.87861629062035, -73.92127941499736 40.87863216323606))"
Bronx Park,3.0,Class III : Developed/Improved,Paved,Sloped,2: Slightly uneven,2015.0,Blue Trail,X002,Yes,"MULTILINESTRING ((-73.87491770933003 40.8713255879631, -73.87511247399462 40.871048384297765, -73.87544824842696 40.87072374802072))"
Marine Park,9.0,Class IV : Highly Developed,Sand,Level,2: Slightly uneven,2013.0,Blue Trail,B057,Yes,"MULTILINESTRING ((-73.9172706483797 40.5885956887992, -73.91726487167803 40.58857219267911, -73.91726254572184 40.58856273010268, -73.91722058410613 40.58834191218734, -73.91714847117244 40.588107272889765, -73.9171547788149 40.58788648973524))"
High Rock Park,3.0,Class IV : Highly Developed,Dirt,Sloped,2: Slightly uneven,2014.0,Gretta Moulton Trail,R088,Yes,"MULTILINESTRING ((-74.12724188160504 40.58495023022983, -74.12720427586497 40.58459772101783, -74.12706623596314 40.584556902595914, -74.12712350635218 40.584497978259066, -74.1272346286186 40.5844396984814, -74.127234158766 40.58435303341812))"
Forest Park,3.0,Class II : Simple/Minor Developed,Dirt,Level,2: Slightly uneven,2015.0,Unnamed Official Trail,Q015,Yes,"MULTILINESTRING ((-73.84373161087557 40.70702614302731, -73.84370837351447 40.70711246884524, -73.84370883964228 40.70715995891523, -73.8437134680764 40.70725822373988, -73.84373312908181 40.70730883673151, -73.84373116694726 40.707344737507746, -73.84369725142095 40.70741066211729, -73.84370450303538 40.70746666493988, -73.84363882008631 40.70752966475297, -73.84357807236339 40.70760494522197, -73.84361360161947 40.70767999719364, -73.84362610942414 40.70778200534446))"
Deere Park,5.0,Class III : Developed/Improved,Dirt,Sloped,4: Strenuous climbs,2014.0,Blue Trail,R115,Yes,"MULTILINESTRING ((-74.111265545636 40.60645562952431, -74.1112773276632 40.60653544132562, -74.1113055188342 40.606668858842035, -74.11130359185844 40.60674053238553, -74.11126247871833 40.60684298139982, -74.11123466079385 40.60698534309198, -74.1111936366865 40.607047048758766, -74.11114921418392 40.60707248735761, -74.11104573047625 40.60713750604251, -74.11102843284426 40.607164143094764))"
Pelham Bay Park,5.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2015.0,Siwanoy Trail,X039,Yes,"MULTILINESTRING ((-73.7958470588936 40.86166397876329, -73.79575878541227 40.861795499722064, -73.79563079831267 40.86188425523536, -73.79545990586051 40.86197691653023, -73.7953433737314 40.86209023134302, -73.79526562681384 40.86213305679721))"
Van Cortlandt Park,5.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2014.0,Unnamed Official Trail,X092,No,"MULTILINESTRING ((-73.87016228468636 40.901037839204086, -73.87028116245263 40.900970405896054, -73.87071910880803 40.90067218217277, -73.87066291359608 40.900610936720284, -73.87062422682324 40.900568772315154))"
Seton Falls Park,5.0,Class II : Simple/Minor Developed,Dirt,Level,2: Slightly uneven,2013.0,Unnamed Official Trail,X046,Yes,"MULTILINESTRING ((-73.83844877223308 40.887277158548216, -73.83844125422961 40.88729620413529, -73.83846327675268 40.88747829815391, -73.83829469558029 40.88765882498976, -73.83821440401596 40.887762470204564, -73.83799688525579 40.8878869708268))"
Pelham Bay Park,7.0,Class IV : Highly Developed,Gravel,Level,2: Slightly uneven,2014.0,Unnamed Official Trail,X039,Yes,"MULTILINESTRING ((-73.7842095418528 40.871172920402365, -73.784190305554 40.871210873444106, -73.78413292003191 40.87125723775018, -73.78391865031672 40.87158252901318, -73.78388381084126 40.87192081604051))"
Van Cortlandt Park,9.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2014.0,Unnamed Official Trail,X092,No,"MULTILINESTRING ((-73.88152473856915 40.88360720545936, -73.88155300136268 40.883590825791565, -73.88150529334474 40.883512628949866, -73.88139682141063 40.883388269224476, -73.88139493223554 40.883280029630434, -73.8814205554175 40.88322350626618, -73.88141033225885 40.883151261384405, -73.88136132909368 40.88306242569061, -73.88130245233592 40.882948937088116, -73.88129849010002 40.88294129868273))"
Inwood Hill Park,9.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2014.0,Unnamed Official Trail,M042,No,"MULTILINESTRING ((-73.92803231509733 40.87641081777081, -73.92799689883007 40.87650609699893, -73.9278830580071 40.87655665493845, -73.92780457868449 40.87656256259656, -73.92774576670473 40.87652380932013, -73.92774191991103 40.87645233069723, -73.92777727505106 40.876413636357675, -73.92783222185705 40.87639877936517, -73.92795385532273 40.87639885626374, -73.92803231509733 40.87641081777081))"
Forest Park,5.0,Class IV : Highly Developed,Wood Chips,Wavy,2: Slightly uneven,2013.0,Yellow Trail,Q015,Yes,"MULTILINESTRING ((-73.84004053869204 40.7061420878209, -73.84003972474655 40.706139545442454, -73.83998513099708 40.70601570217213, -73.83992839331174 40.705924365308526, -73.83985236410798 40.70581282108279, -73.83978051636697 40.70574437847227, -73.83973870252596 40.70559524665082, -73.83978257031465 40.705557903112656))"
Pelham Bay Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2014.0,Siwanoy Trail,X039,Yes,"MULTILINESTRING ((-73.8009773412044 40.873770106553, -73.80098992010409 40.873668096401836, -73.80110159635744 40.873423212412646, -73.80112337333722 40.8733922874873, -73.80117255508617 40.87335582043456, -73.80161081725 40.87325890032278))"
Central Park,3.0,Class III : Developed/Improved,Wood Chips,Sloped,2: Slightly uneven,2014.0,,M010,No,"MULTILINESTRING ((-73.95691209964716 40.79481840852972, -73.95674270122693 40.794792977994845, -73.95668721747016 40.79479592610737, -73.95659597789692 40.7947410459316, -73.95650201777244 40.79455223328535, -73.95651908789046 40.7943900299484, -73.95654159544826 40.79430760665965))"
Fresh Creek Nature Preserve,7.0,Class IV : Highly Developed,Paved,Level,1: Flat and smooth,2015.0,Teal Trail,B384,Yes,"MULTILINESTRING ((-73.87982197691927 40.64198731402207, -73.87985085565005 40.64201345745344, -73.87991176366752 40.642061173847324, -73.87997266630535 40.642111272076214, -73.88001952505 40.642144678006005, -73.88005543985986 40.64217568972857, -73.88014916708696 40.64223654457678, -73.88020694744066 40.64228425755298, -73.88026785809777 40.64233078237228, -73.88035844483514 40.64239878119888, -73.88042249446592 40.64243935226718, -73.8804584202921 40.64246440784051, -73.8804674531684 40.64246853260235))"
Pelham Bay Park,7.0,Class IV : Highly Developed,Wood Chips,Level,2: Slightly uneven,2014.0,Unnamed Official Trail,X039,Yes,"MULTILINESTRING ((-73.79489323481228 40.859806788212964, -73.79493506974778 40.859637884237344, -73.79492639518115 40.859443933321494, -73.79498686127239 40.85916776242389, -73.79499365886501 40.859129562995236))"
Richmond Parkway,7.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2015.0,Unnamed Official Trail,R065,Yes,"MULTILINESTRING ((-74.12311840327682 40.58711951667301, -74.12318936264278 40.58716885508555, -74.12330559832087 40.58723165814233, -74.12351485000005 40.58726345333634, -74.12359903054542 40.587308596148496, -74.12373535160074 40.587370989937476, -74.12388677833341 40.5874600921371, -74.12392225522154 40.587526297345235))"
Forest Park,5.0,Class IV : Highly Developed,Wood Chips,Wavy,2: Slightly uneven,2013.0,Yellow Trail,Q015,Yes,"MULTILINESTRING ((-73.84302603895452 40.70537682042229, -73.84307058638971 40.70538972337875, -73.84319792699188 40.70539500462608, -73.84333043563137 40.70546201031845, -73.84348791327211 40.705478800291274, -73.8436745970323 40.70556143199378, -73.84374325183835 40.705630629669585, -73.84376384979699 40.7056528741821))"
Van Cortlandt Park,5.0,Class IV : Highly Developed,Paved,Level,1: Flat and smooth,2013.0,Unnamed Official Trail,X092,Yes,"MULTILINESTRING ((-73.87853543296893 40.90132834187344, -73.87850355544734 40.901441969239244, -73.87839743869726 40.902076289067324))"
LaTourette Park & Golf Course,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2014.0,"White Trail, Red Trail, Yellow Trail, Blue Trail",R013,Yes,"MULTILINESTRING ((-74.13398661362226 40.58333924081463, -74.13396121773218 40.583349273456705, -74.13375567982925 40.58335348873614, -74.13350699744534 40.58342243307884, -74.13343800475936 40.58345949057398, -74.13340117338822 40.58347927284598, -74.13329238919813 40.58360536449976, -74.1332428043616 40.58366283766863))"
Kissena Park,5.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2014.0,"Blue Loop, Orange Trail",Q024,Yes,"MULTILINESTRING ((-73.80917340926095 40.74353577055624, -73.80911389284519 40.74349012778989, -73.80897249147871 40.743405739884516, -73.8087761916996 40.74327046295671, -73.80869078868953 40.743188676481346, -73.8086038630189 40.74307071396429))"
Brady's Pond Park,3.0,Class I : Minimal/Undeveloped,Dirt,Wavy,3: Moderate and rough,2016.0,Unnamed Official Trail,R075G,Yes,"MULTILINESTRING ((-74.0780461346485 40.60495598679429, -74.07812697232099 40.604973783823894, -74.07816669872936 40.604952351399945, -74.07823170331115 40.60495957438526, -74.07827170386696 40.60493618940624, -74.07833058331279 40.604895017040995, -74.07835043171423 40.60487173221719, -74.07834953096864 40.60483412342205, -74.0783718003243 40.60480381287081, -74.07841721675973 40.60479844089526, -74.0784140666239 40.60472082973684, -74.0784107288853 40.604682668783084, -74.07842275765829 40.60462904798567, -74.07840579895542 40.60460469322578, -74.07842906895958 40.604534149348424))"
Van Cortlandt Park,9.0,Class IV : Highly Developed,Paved,Level,1: Flat and smooth,2013.0,Unnamed Official Trail,X092,No,"MULTILINESTRING ((-73.89378165976962 40.88983963052432, -73.8937425625345 40.889885695815515, -73.89369492819924 40.88994181886215, -73.8936548339561 40.88998871615407, -73.89361439377213 40.890031529409484, -73.89355384961519 40.890076896800984, -73.89349111266228 40.89011626039894, -73.893413206844 40.890157387515835, -73.89335676928357 40.89018573310945, -73.89330090052697 40.89021304724438, -73.89323853980316 40.89023889115796, -73.89316169313628 40.8902469100214))"
Goodhue Park,9.0,Class IV : Highly Developed,Paved,Wavy,2: Slightly uneven,2017.0,Red Trail,R169,Yes,"MULTILINESTRING ((-74.09724727783149 40.63612006464477, -74.09793643679015 40.63599678035639, -74.09802391475682 40.63593984881663))"
Marine Park,7.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2014.0,Unnamed Official Trail,B057,No,"MULTILINESTRING ((-73.93254703867083 40.602100847716294, -73.93267811292961 40.60218810864263, -73.93286464328814 40.60233256338236, -73.93296826975575 40.60241545121127, -73.93306552920198 40.602551604734764, -73.93307497317991 40.60260903384047))"
Kissena Corridor Park,9.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2015.0,"Greenway, Orange Trail",Q300,Yes,"MULTILINESTRING ((-73.81535145102279 40.74598625009438, -73.81442570830052 40.7457811176547))"
Van Cortlandt Park,9.0,Class IV : Highly Developed,Gravel,Level,2: Slightly uneven,2013.0,Cross Country Trail,X092,Yes,"MULTILINESTRING ((-73.89098251748162 40.90034779009394, -73.89086949495632 40.90038339831345, -73.89073209160696 40.90039336367487, -73.89052816761595 40.900393301957635, -73.89044921835678 40.90043048189801, -73.89037033244229 40.90049683843058, -73.89023074892908 40.90066113599771))"
Richmond Parkway,3.0,Class III : Developed/Improved,Dirt,Sloped,2: Slightly uneven,2014.0,Paulo's Peak Trail,R065,Yes,"MULTILINESTRING ((-74.13002632387769 40.583988711575, -74.12995453900231 40.58398036207908, -74.12972679709077 40.58408394383945, -74.12966482945824 40.584273648064645, -74.12960409628324 40.58437291387633, -74.12954393327288 40.58457805098624, -74.1295417354405 40.584591009311445))"
Marine Park,5.0,Class III : Developed/Improved,Sand,Level,2: Slightly uneven,2013.0,Blue Trail,B057,Yes,"MULTILINESTRING ((-73.92189925206307 40.59316853155774, -73.92196177112162 40.59315755432966, -73.92209427233604 40.59312585486629, -73.92217404202073 40.59308663980298, -73.92232373099478 40.59304092696567, -73.92243540973617 40.592984903407, -73.92272085865662 40.59279059891791))"
Van Cortlandt Park,9.0,Class IV : Highly Developed,Paved,Level,1: Flat and smooth,2013.0,Unnamed Official Trail,X092,No,"MULTILINESTRING ((-73.89635865262399 40.89075107203406, -73.89630942121752 40.89077315005258, -73.89616623127053 40.89082793745762, -73.89604585445952 40.89089897378475, -73.8957953256513 40.891085861611096, -73.89572660417112 40.891153713279884, -73.89573333326594 40.89115839738121))"
Van Cortlandt Park,9.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2013.0,Unnamed Official Trail,X092,Yes,"MULTILINESTRING ((-73.88193337023787 40.89334133234131, -73.88186491797607 40.893160280938254, -73.88164852417536 40.892749024560224, -73.88165578936476 40.892749395804934))"
Seton Falls Park,5.0,Class IV : Highly Developed,Dirt,Sloped,3: Moderate and rough,2013.0,Blue Trail,X046,Yes,"MULTILINESTRING ((-73.83937426357798 40.886916311147516, -73.83934113942512 40.886931757929446, -73.83932413010383 40.886939690057545, -73.8392441984772 40.88697696428923, -73.83917762294088 40.88703123846324, -73.83913194860496 40.887073148325165, -73.8390862754002 40.88711505726985, -73.83904412622904 40.88713342697231, -73.83893941168975 40.887135536624136, -73.83883066933491 40.88718539249232, -73.8387598635706 40.88715047626601, -73.83866675060513 40.88719874013887))"
Powell's Cove Park,5.0,Class IV : Highly Developed,Gravel,Level,2: Slightly uneven,2015.0,Name TBD,Q461,No,"MULTILINESTRING ((-73.83643646396845 40.788687584548605, -73.83642461429054 40.788682018835765, -73.8363851701883 40.78865980508604, -73.83628846992244 40.78859319358443, -73.8362434103244 40.788560250427984, -73.83621994509677 40.78854163251715, -73.83610917133814 40.788461420386945, -73.83604401653493 40.7884165115144, -73.83598673489915 40.788382120870885, -73.83593883524877 40.788357034937995, -73.83591346759859 40.78834699244163, -73.83587682135507 40.78833478888225, -73.83584298376057 40.788327592502974, -73.83579315340357 40.78832251832551, -73.83571981161589 40.788318125614445, -73.83566621076601 40.78831661920102, -73.83559002565646 40.78832079963842, -73.8355760950604 40.78832457808425))"
Willowbrook Park,9.0,Class IV : Highly Developed,Paved,Level,1: Flat and smooth,2015.0,White Trail,R030,Yes,"MULTILINESTRING ((-74.15859717943741 40.604056842867074, -74.15844842287147 40.60406536708093, -74.1584363205917 40.60406686692708, -74.15842444530884 40.60407241161005, -74.15841116594436 40.60408026266643, -74.15840292665305 40.604089488177735, -74.15839993056944 40.60410054893312, -74.15839654907715 40.60411898190393, -74.15839343837408 40.60413999900356, -74.15839182249461 40.60416060340428, -74.15838327781486 40.6041691017121, -74.15836702373664 40.60417761064255, -74.15834476107118 40.604180905714124, -74.15832506665426 40.604183544364005, -74.15827968744048 40.60419078764143, -74.15825913796586 40.60419408033702, -74.1582505828005 40.604198662273205, -74.1582386163402 40.60420912392002, -74.15823007937128 40.60422088660296, -74.15820416203525 40.6042370596602, -74.15818226206447 40.60424783304754, -74.15805827760886 40.6043016117791, -74.15799648791223 40.60433023792565, -74.15794475293794 40.6043528743486, -74.15790229433021 40.60438311282921, -74.15788363141642 40.60440828108019))"
Marine Park,9.0,Class IV : Highly Developed,Paved,Level,1: Flat and smooth,2013.0,Unnamed Official Trail,B057,No,"MULTILINESTRING ((-73.92084126249213 40.58934909761476, -73.92072253633965 40.58929769492431, -73.92056621531273 40.58919204200093, -73.92045699914323 40.589058978925735, -73.92037686117054 40.58892382507082, -73.92022928254381 40.58879464976155))"
Cunningham Park,3.0,Class III : Developed/Improved,Dirt,Level,2: Slightly uneven,2014.0,Biking Trail,Q021,No,"MULTILINESTRING ((-73.76804046710733 40.74413402508572, -73.76795740213358 40.743982730591746, -73.76793673419972 40.7439276623917, -73.76784431136105 40.743902776045516, -73.76779747861795 40.7438574787388, -73.76778222818957 40.743810068562105, -73.76780936855937 40.743771125797615, -73.76790018204476 40.743693063534685, -73.76790544253122 40.743602321644055, -73.76799276920518 40.743541486239835, -73.76800286447701 40.74350359060382, -73.76801568719137 40.743462768400036))"
Inwood Hill Park,7.0,Class V : Fully Developed,Paved,Level,1: Flat and smooth,2013.0,Orange Trail,M042,Yes,"MULTILINESTRING ((-73.92469930271417 40.87234598505701, -73.92493520170515 40.8720397619536, -73.92500853007591 40.87171601196863))"
Seton Falls Park,9.0,Class IV : Highly Developed,Paved,Level,1: Flat and smooth,2021.0,Orange Trail,X046,Yes,"MULTILINESTRING ((-73.83937035829831 40.885823832700936, -73.83947166853538 40.88544895394797, -73.83954925258895 40.8852764275701, -73.8395880332684 40.88519505038923, -73.83960105103534 40.88512992361196, -73.8395840136325 40.885084298345504, -73.8395753399598 40.885057856080806))"
Van Cortlandt Park,9.0,Class IV : Highly Developed,Dirt,Level,2: Slightly uneven,2014.0,Old Croton Aqueduct Trail,X092,Yes,"MULTILINESTRING ((-73.8823354862684 40.905471233806175, -73.88233550245577 40.905471476052696, -73.88238489771607 40.906169042563725))"
